"study","outcome.variable","outcome.name","outcome.min","outcome.max","condition.name","n_total","n","mean","sd"
"Cohen1099","Cohen1099.Q33","Accounting",1,6,"female, working class, student loans",149,147,4.41496598639456,1.32335986581564
"Cohen1099","Cohen1099.Q33","Accounting",1,6,"male, upper class, no debt",129,129,4.2015503875969,1.289257568339
"Cohen1099","Cohen1099.Q33","Accounting",1,6,"male, upper class, no info",136,133,3.81954887218045,1.48137214477171
"Cohen1099","Cohen1099.Q33","Accounting",1,6,"male, upper class, student loans",155,155,4.2258064516129,1.29207568380702
"Cohen1099","Cohen1099.Q33","Accounting",1,6,"male, working class, no debt",139,138,4.34782608695652,1.18784706131148
"Cohen1099","Cohen1099.Q33","Accounting",1,6,"male, working class, no info",122,119,4.28571428571429,1.15084977551857
"Cohen1099","Cohen1099.Q33","Accounting",1,6,"male, working class, student loans",123,120,4.6,1.1478880863671
"HamiltonS31","HamiltonS31.Q1A1","belief_man_first",1,2,"ATTEMPTED RAPE LANGUAGE",186,88,1.875,0.332614166727826
"HamiltonS31","HamiltonS31.Q1A1","belief_man_first",1,2,"BOTH HAD BEEN DRINKING",167,84,1.78571428571429,0.412790345321993
"HamiltonS31","HamiltonS31.Q1A1","belief_man_first",1,2,"CONSENT",179,97,1.75257731958763,0.433756071884772
"HamiltonS31","HamiltonS31.Q1A1","belief_man_first",1,2,"FIRST ALLEGATION AGAINST MAN",186,94,1.42553191489362,0.49707448874146
"HamiltonS31","HamiltonS31.Q1A1","belief_man_first",1,2,"INAPPROPRIATE TOUCHING LANGUAGE",203,103,1.7378640776699,0.441946786090985
"HamiltonS31","HamiltonS31.Q1A1","belief_man_first",1,2,"MAN ACCUSER",177,91,1.45054945054945,0.500305157184343
"HamiltonS31","HamiltonS31.Q1A1","belief_man_first",1,2,"NEITHER HAD BEEN DRINKING",163,89,1.79775280898876,0.403951371986184
"HamiltonS31","HamiltonS31.Q1A1","belief_man_first",1,2,"NOT THE FIRST ALLEGATION AGAINST MAN",179,76,1.89473684210526,0.308931378288493
