"study","outcome.name","scale_flip","outcome_scale_min","outcome_scale_max"
"Howat1039","Feeling_DemPartySupporters",FALSE,1,7
"Howat1039","Personal_ideology",FALSE,1,7
"Iles1294","collaborative",FALSE,1,7
"Iles1294","Confusing",FALSE,1,7
"Iles1294","Frustrated",FALSE,1,5
"immigration","Support for Immigration",FALSE,1,5
"jacobsenS7","coppock_dv_name",FALSE,1,7
"Kennedy1017","Family_approval",FALSE,1,11
"Kennedy1017","Family_friends",FALSE,1,11
"Kennedy1017","Family_knowledge",FALSE,1,11
"KlarBRIEF70","child_marries_dem",FALSE,1,5
"KlarS44","efficacy",TRUE,1,7
"KlarS44","importance",FALSE,1,5
"KlarS44","support_candidate",TRUE,1,5
"Krupnikov719","abortion",TRUE,1,2
"Krupnikov719","income",FALSE,1,9
"Krupnikov719","systemic_racism",TRUE,1,5
"KrupnikovS34","partisanship",FALSE,1,7
"KuruB67","poll_accuracy",FALSE,1,7
"KuruB67","vote_choice",FALSE,1,7
"Levendusky741","social_distance",FALSE,1,7
"Levendusky741","Thermometer_dems",FALSE,0,100
"McCabeS19","Attribution",TRUE,1,5
"McCabeS19","Contact",FALSE,1,5
"McGinty730","social_stigma",TRUE,1,5
"McGinty730","treatment_support",TRUE,1,5
"McGinty730","willingness_to_pay_mentalhealthservices",TRUE,1,2
"Melin1066","Capable",FALSE,1,7
"Melin1066","masculine",FALSE,1,7
"melloS6","coppock_dv_name",FALSE,1,4
"Merolla843","foreign_policy",FALSE,1,7
"Merolla843","hillary_clinton_leadership",FALSE,1,7
"Merolla843","trump_leadership",FALSE,1,7
"Mezzapelle1439","BELIEVABLE",FALSE,1,7
"Mezzapelle1439","COMPENSATION",FALSE,1,7
"Mezzapelle1439","PERCEIVED HARM",FALSE,1,7
"MunschS68","Morgan_Committed",FALSE,1,7
"parmerS15","coppock_dv_name",FALSE,0,1
"patriot_act","Patriot Act Support",FALSE,1,7
"pedullaS18","hiring recommendation",FALSE,0,1
"piazzaS8","coppock_dv_name",FALSE,1,5
"relihan1399","COVID-19",FALSE,0,4
"relihan1399","Influenza",FALSE,0,4
"relihan1399","Perinia Accetis superbacteria",FALSE,0,4
"Rifkin1073","Stressed",FALSE,1,7
"RyanS14","rumor true - laundered money",TRUE,1,5
"SchaadS62","still_identify",FALSE,1,7
"Schnabel903","Feminine",FALSE,1,7
"Schnabel903","Masculine",FALSE,1,7
"senS81","ideal_gender_male",FALSE,0,100
"shaferS9","coppock_dv_name",FALSE,1,5
"ShannonS2","tax credit effective",FALSE,1,5
"ShannonS28","immigrant intake",TRUE,1,5
"Silverman1035","Americans_Killed",FALSE,1,3
"Silverman1035","Terrorism_likely",TRUE,1,4
"Silverman1035","Terrorism_worry",TRUE,1,4
"Stoker1063","Anger",FALSE,1,7
"Stoker1063","Serious",FALSE,1,7
"Stoker1063","Worry",FALSE,1,7
"system_threat","Way of Life",FALSE,1,5
"Terman1029","donating to HRAC",TRUE,1,2
"Terman1029","naitonalist superiority",FALSE,1,5
"Terman1029","perception of domestic human rights conditions",FALSE,1,5
"thompsonS10","coppock_dv_name",FALSE,1,7
"ThorsonS42","Facebook",FALSE,1,5
"ThorsonS42","Local Newspapers",FALSE,1,5
"ThorsonS42","National newspapers",FALSE,1,5
"turagaS11","coppock_dv_name",FALSE,1,5
"wallaceS12","coppock_dv_name",FALSE,1,5
"WallaceS9","credibility",TRUE,1,7
"WallaceS9","president_approval",TRUE,1,7
"wayne841","CandidateSupportBC",TRUE,1,7
"wayne841","CandidateSupportDT",TRUE,1,7
"wayne841","CandidateSupportHC",TRUE,1,7
"Williamson859","Food stamps",TRUE,1,3
"Williamson859","Military",TRUE,1,3
"Williamson859","Social Security",TRUE,1,3
