sample,intervention,outcome,outcome_scale,ate_vs_control,se_welch,n_treat,n_control,mean_treat,sd_treat,mean_control,sd_control
ALL,SciConsens,belief,0-100; mean of 4 belief sliders,1.22376,0.47713,5276,5079,78.95435,23.96930,77.73059,24.55995
ALL,SciConsens,policy,0-100; mean of 9 policy-support sliders,0.82397,0.38411,5239,5045,69.71866,19.22861,68.89469,19.70561
ALL,SciConsens,share,0/1; shared climate info on social media,0.03881,0.01126,3967,3905,0.52357,0.49951,0.48476,0.49983
ALL,SciConsens,wept,0-8; WEPT pages completed,0.05000,0.06708,5286,5085,5.04862,3.40472,4.99862,3.42484
ALL,SystemJust,belief,0-100; mean of 4 belief sliders,1.72949,0.47631,5164,5079,79.46008,23.62775,77.73059,24.55995
ALL,SystemJust,policy,0-100; mean of 9 policy-support sliders,0.95000,0.38952,5131,5045,69.84469,19.58552,68.89469,19.70561
ALL,SystemJust,share,0/1; shared climate info on social media,0.05462,0.01136,3821,3905,0.53939,0.49851,0.48476,0.49983
ALL,SystemJust,wept,0-8; WEPT pages completed,-0.06454,0.06768,5173,5085,4.93408,3.42945,4.99862,3.42484
ALL,WorkTogetherNorm,belief,0-100; mean of 4 belief sliders,-0.64256,0.48816,5149,5079,77.08803,24.80904,77.73059,24.55995
ALL,WorkTogetherNorm,policy,0-100; mean of 9 policy-support sliders,-0.05055,0.39295,5113,5045,68.84414,19.89807,68.89469,19.70561
ALL,WorkTogetherNorm,share,0/1; shared climate info on social media,0.05376,0.01126,3959,3905,0.53852,0.49858,0.48476,0.49983
ALL,WorkTogetherNorm,wept,0-8; WEPT pages completed,-0.41057,0.06830,5156,5085,4.58805,3.48701,4.99862,3.42484
